id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
417047,New 2 BR Only Minutes from Downtown,2074212,Andrea,,Downtown Eastside,49.27782,-123.09209,Entire home/apt,110,1,199,2019-09-01,2.22,1,86
419437,Trout  Lake  Haven,989790,Paul,,Kensington-Cedar Cottage,49.25231,-123.06134,Private room,75,1,88,2019-09-08,0.97,3,173
436032,Trendy & Spacious 2 bd Gastown Loft,2165986,Kristy,,Downtown Eastside,49.28297,-123.10393,Entire home/apt,245,4,71,2019-08-27,0.80,1,113
441075,1 Bdrm Apartment Downtown Vancouver,2121651,Diana,,Downtown Eastside,49.28398,-123.10528,Entire home/apt,219,3,46,2019-09-09,0.54,1,301
446373,Spacious 2 bedroom townhouse,2216706,Matthew,,Fairview,49.25831,-123.12128,Entire home/apt,146,60,0,,,2,230
448104,Modern Charm – Walk everywhere!,179396,Lili,,West End,49.28145,-123.12582,Entire home/apt,138,28,246,2019-08-30,2.75,6,66
461370,Lovely large room w/ private bath,1200456,Nala,,Killarney,49.22814,-123.03149,Private room,90,2,43,2019-09-01,0.49,7,360
461386,Beautiful room (s) Vancouver Home,1200456,Nala,,Killarney,49.22846,-123.03121,Private room,90,2,35,2019-09-02,0.40,7,364
475296,1400 sqft LOFT PENTHOUSE IN GASTOWN WITH TWO DECKS,2356016,Jocelyn,,Downtown Eastside,49.28339,-123.10453,Entire home/apt,350,1,118,2019-08-18,1.58,1,350
496298,"Downtown 1Bed+Den, stylish & modern",2451689,Marlin,,Downtown,49.27996,-123.11684,Entire home/apt,121,31,155,2019-08-24,1.76,1,257
497641,Spacious Blue Room in Large House,2456973,Jeanette,,Fairview,49.2589,-123.12998,Private room,101,30,25,2019-05-27,0.28,6,284
498112,Central Modern House with View and 2 Kitchens,2459577,Allison,,Kensington-Cedar Cottage,49.24937,-123.07303,Entire home/apt,375,5,26,2019-08-21,0.30,2,139
507767,One Bedroom Suite @ the Luxurious LEVEL Vancouver,2502595,LEVEL Furnished Living,,Downtown,49.2775,-123.12296,Entire home/apt,230,31,2,2014-08-31,0.03,19,365
523272,Adorable 2 Bedroom Cambie Craftsman - Garden Suite,2572830,Katie,,South Cambie,49.25529,-123.11692,Entire home/apt,234,1,29,2019-08-22,0.33,2,34
540348,Modern Architectural Home Lakeside sleeps 6,2655554,Kristen,,Kensington-Cedar Cottage,49.25761,-123.06393,Entire home/apt,330,1,27,2019-08-13,0.37,1,344
557357,Commercial Dr West Coast Garden Ste,525761,Diane,,Grandview-Woodland,49.27909,-123.06272,Entire home/apt,79,30,184,2018-08-29,2.10,2,30
573614,1 brm - Coal Harbour Residence,560892,Vancouver Furnished,,West End,49.28732,-123.12605,Entire home/apt,199,30,3,2016-08-25,0.06,5,365
597996,Cool new condo near transportation,2287667,Diane,,Mount Pleasant,49.26447,-123.10058,Entire home/apt,121,30,318,2018-09-30,3.75,1,259
622217,Sub-Penthouse with Amazing Views in Heart of City,3084195,Sherry,,Downtown,49.27801,-123.10715,Entire home/apt,550,2,30,2019-09-08,0.40,2,350
625396,Close to Jericho beach garden level loft.,3102862,The Vancouver Connection!,,Kitsilano,49.27063,-123.18412,Entire home/apt,199,2,161,2019-09-13,1.86,2,337
637617,Commercial Drive Character Suite,3181196,Alison,,Grandview-Woodland,49.27827,-123.07237,Entire home/apt,150,6,19,2019-08-27,0.22,2,320
648026,Quiet Oasis Garden Suite - Steps from the Drive,893727,Peter & Robin,,Grandview-Woodland,49.26966,-123.06855,Entire home/apt,79,21,53,2019-09-10,0.62,1,104
648278,"Furnished ,spacious rooms, near VGH",2456973,Jeanette,,Fairview,49.25903,-123.13166,Private room,110,30,12,2019-06-12,0.17,6,325
654744,English Bay Hideaway @ Stanley Park,2796859,James,,West End,49.29262,-123.14143,Entire home/apt,166,30,55,2019-08-29,0.72,1,349
654763,1 Bedroom Private Furnished Suite,2459577,Allison,,Kensington-Cedar Cottage,49.25145,-123.07335,Entire home/apt,77,30,27,2019-08-13,0.35,2,0
659986,Near DOWNTOWN+CAMBIE---PRIVATE BATH,84820,Chris,,South Cambie,49.24413,-123.11955,Private room,117,31,27,2018-05-06,0.33,2,89
666996,A Private Room in a Brand New Condo,2447132,Young,,Mount Pleasant,49.26202,-123.09734,Private room,54,1,21,2019-08-13,1.00,3,330
670259,Cozy room in 100 year old home,2818180,Shannon,,Kensington-Cedar Cottage,49.2619,-123.07239,Private room,60,30,89,2019-08-17,1.11,1,23
680412,Adanac Suite - Commercial Drive,3181196,Alison,,Grandview-Woodland,49.27641,-123.07224,Entire home/apt,101,1,30,2019-09-01,0.38,2,228
685239,Sunny Side Up- tiny home,3494649,Kendra & Trevor,,Hastings-Sunrise,49.27484,-123.03704,Entire home/apt,121,3,59,2018-09-27,0.69,2,59
688828,3 bedroom family home in amazing location,1465740,Helene,,Kitsilano,49.27063,-123.17998,Entire home/apt,258,3,9,2019-08-13,0.18,1,13
703179,Cute room in a condo full of art,3246254,Izabela,,Downtown Eastside,49.28115,-123.10778,Private room,85,4,134,2019-08-24,1.64,1,313
713271,Luxury Seaview Studio Suite - Westend,3671073,Susan,,West End,49.28081,-123.13615,Entire home/apt,135,30,72,2018-12-18,0.95,1,309
727856,1 bedroom apartment - Amazing Location,560892,Vancouver Furnished,,Downtown,49.28387,-123.11732,Entire home/apt,159,30,4,2017-07-03,0.08,5,304
731219,Kitsilano Laneway House - Quiet Neighbourhood,3804851,Fran & Julian,,Kitsilano,49.2595,-123.18244,Entire home/apt,150,31,9,2019-07-26,0.12,1,168
732895,Best Location in Downtown - Bright Beautiful 1bdr,179396,Lili,,Downtown,49.28195,-123.12383,Entire home/apt,138,28,193,2019-06-29,2.34,6,64
