id,name,host_id,host_name,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,neighbourhood_group,city,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,number_of_reviews,reviews_per_month
248973,East Vancouver Hidden Gem,1304461,Shelley,f,Hastings-Sunrise,2,2,t,Hastings-Sunrise,,Vancouver,49.28053,-123.05494,Loft,Entire home/apt,4,1,1,1,$140.00,2,14,85,0.89
249106,East Vancouver Loft,1304461,Shelley,f,Hastings-Sunrise,2,2,t,Hastings-Sunrise,,Vancouver,49.28035,-123.05365,Loft,Shared room,2,1,1,1,$45.00,2,14,92,0.96
254657,Heritage Loft in heart of Gastown,241920,Scott,t,Gastown,1,1,t,Downtown Eastside,,Vancouver,49.28273,-123.10492,Loft,Entire home/apt,2,1,1,1,$199.00,2,365,67,0.86
257163,"Lg. Room, Private Bath & Breakfast!",70797,Adrianna,f,Kensington-Cedar Cottage,1,1,t,Kensington-Cedar Cottage,,Vancouver,49.24003,-123.0639,Apartment,Private room,4,1,1,2,$68.00,3,14,39,0.42
258636,FABULOUS Luxury Downtown Vancouver!,948852,Ian,t,Downtown Vancouver,1,1,t,Downtown,,Vancouver,49.27796,-123.12671,Apartment,Entire home/apt,4,1,1,2,$99.00,120,365,52,0.55
306178,Sunset views - LGBTQ2+ friendly,1574553,Michelle,t,Renfrew-Collingwood,2,2,t,Renfrew-Collingwood,,Vancouver,49.23311,-123.02669,Apartment,Private room,2,1,1,1,$66.00,2,30,70,0.83
311354,Close to downtown/shops/restaurants/skytrain,58512,Q,f,Commercial Drive,2,2,f,Grandview-Woodland,,Vancouver,49.26415,-123.07008,House,Entire home/apt,7,1,5,3,$200.00,30,1124,5,0.23
325795,"Spotless 1B Apt. 5 min walk to Commerical ""Drive""",343195,Trish,t,Grandview-Woodland,2,2,f,Grandview-Woodland,,Vancouver,49.26634,-123.06207,House,Entire home/apt,2,1,1,1,$79.00,2,365,194,2.17
359942,Stylish Modern Central Downtown★★★★★★★,1200456,Nala,f,Yaletown,8,8,f,Downtown,,Vancouver,49.27825,-123.11865,Apartment,Private room,2,1,2,1,$250.00,1,1125,41,0.45
363705,This is the door to Vancouver USE,981145,Dianne,f,Strathcona,4,4,t,Downtown Eastside,,Vancouver,49.27711,-123.07861,House,Private room,3,2,1,2,$73.00,1,1125,104,1.17
377706,Bright Spacious Bedroom Pvt Bath,1898008,Tina,f,Grandview-Woodland,1,1,f,Grandview-Woodland,,Vancouver,49.279,-123.06977,Condominium,Private room,2,1,1,1,$42.00,30,60,56,0.65
415700,"LARGE PRIVATE ROOM+ BATH, SEPARATE ENTRY, KING BED",83871,Adam,t,Renfrew-Collingwood,3,3,f,Renfrew-Collingwood,,Vancouver,49.23468,-123.05508,House,Private room,2,1,1,1,$50.00,2,30,192,2.12
416453,Ultra Modern Studio in Chinatown,1318151,Suz,f,Chinatown,1,1,t,Downtown Eastside,,Vancouver,49.27844,-123.09986,Apartment,Entire home/apt,3,1,1,1,$150.00,30,60,44,0.49
417047,New 2 BR Only Minutes from Downtown,2074212,Andrea,f,Downtown Eastside,1,1,t,Downtown Eastside,,Vancouver,49.27782,-123.09209,House,Entire home/apt,6,1,2,3,$110.00,1,175,199,2.22
419437,Trout  Lake  Haven,989790,Paul,f,Kensington-Cedar Cottage,4,4,t,Kensington-Cedar Cottage,,Vancouver,49.25231,-123.06134,House,Private room,2,1,1,1,$75.00,1,60,88,0.97
436032,Trendy & Spacious 2 bd Gastown Loft,2165986,Kristy,t,Gastown,1,1,t,Downtown Eastside,,Vancouver,49.28297,-123.10393,Loft,Entire home/apt,4,1,2,2,$245.00,4,21,71,0.8
441075,1 Bdrm Apartment Downtown Vancouver,2121651,Diana,f,Gastown,1,1,f,Downtown Eastside,,Vancouver,49.28398,-123.10528,Apartment,Entire home/apt,2,1,1,1,$219.00,3,90,46,0.54
446373,Spacious 2 bedroom townhouse,2216706,Matthew,f,Fairview,1,1,t,Fairview,,Vancouver,49.25831,-123.12128,Townhouse,Entire home/apt,6,2,2,3,$146.00,60,120,0,
448104,Modern Charm – Walk everywhere!,179396,Lili,t,Downtown Vancouver,6,6,t,West End,,Vancouver,49.28145,-123.12582,Condominium,Entire home/apt,2,1,1,1,$138.00,28,1125,246,2.75
461370,Lovely large room w/ private bath,1200456,Nala,f,Yaletown,8,8,f,Killarney,,Vancouver,49.22814,-123.03149,House,Private room,2,1,1,1,$90.00,2,1125,43,0.49
461386,Beautiful room (s) Vancouver Home,1200456,Nala,f,Yaletown,8,8,f,Killarney,,Vancouver,49.22846,-123.03121,House,Private room,2,1,1,1,$90.00,2,1125,35,0.4
475296,1400 sqft LOFT PENTHOUSE IN GASTOWN WITH TWO DECKS,2356016,Jocelyn,t,Gastown,1,1,f,Downtown Eastside,,Vancouver,49.28339,-123.10453,Loft,Entire home/apt,3,1.5,1,1,$350.00,1,1124,118,1.58
496298,"Downtown 1Bed+Den, stylish & modern",2451689,Marlin,t,Downtown Vancouver,1,1,f,Downtown,,Vancouver,49.27996,-123.11684,Apartment,Entire home/apt,4,1,1,2,$121.00,31,365,155,1.76
497641,Spacious Blue Room in Large House,2456973,Jeanette,f,Fairview,6,6,f,Fairview,,Vancouver,49.2589,-123.12998,House,Private room,1,5.5,1,1,$101.00,30,1125,25,0.28
498112,Central Modern House with View and 2 Kitchens,2459577,Allison,t,Kensington-Cedar Cottage,2,2,t,Kensington-Cedar Cottage,,Vancouver,49.24937,-123.07303,House,Entire home/apt,8,2,4,5,$375.00,5,90,26,0.3
507767,One Bedroom Suite @ the Luxurious LEVEL Vancouver,2502595,LEVEL Furnished Living,f,Downtown Vancouver,19,19,f,Downtown,,Vancouver,49.2775,-123.12296,Serviced apartment,Entire home/apt,4,1,1,1,$230.00,31,10000,2,0.03
523272,Adorable 2 Bedroom Cambie Craftsman - Garden Suite,2572830,Katie,f,South Cambie,4,4,t,South Cambie,,Vancouver,49.25529,-123.11692,Guest suite,Entire home/apt,4,1,2,2,$234.00,1,3,29,0.33
540348,Modern Architectural Home Lakeside sleeps 6,2655554,Kristen,t,Kensington-Cedar Cottage,2,2,t,Kensington-Cedar Cottage,,Vancouver,49.25761,-123.06393,House,Entire home/apt,6,1,3,3,$330.00,1,1125,27,0.37
557357,Commercial Dr West Coast Garden Ste,525761,Diane,f,Grandview-Woodland,2,2,f,Grandview-Woodland,,Vancouver,49.27909,-123.06272,House,Entire home/apt,2,1,1,1,$79.00,30,1125,184,2.1
573614,1 brm - Coal Harbour Residence,560892,Vancouver Furnished,f,Downtown Vancouver,6,6,t,West End,,Vancouver,49.28732,-123.12605,Apartment,Entire home/apt,4,1,1,1,$199.00,30,1125,3,0.06
597996,Cool new condo near transportation,2287667,Diane,t,Mount Pleasant,0,0,f,Mount Pleasant,,Vancouver,49.26447,-123.10058,Apartment,Entire home/apt,2,1,1,0,$121.00,30,120,318,3.75
